Feature 1 (Discrete),Feature 2 (Discrete),Feature 3 (Discrete),Feature 4 (Discrete),Feature 5 (Discrete),Feature 6 (Discrete),Feature 7 (Discrete),Feature 8 (Discrete),Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19 (Discrete),Feature 20 (Discrete),Feature 21 (Discrete),Feature 22 (Discrete),Feature 23 (Discrete),Feature 24,Target Variable (Discrete)
1404,12,64,14,3,1,1,1,110.502,35775.2,35797.1,0.00026103,0.172,1436.052,5000.5,,,15.04,104,12,2,32,1409,37677.1,1
909,0,235,32,1,1,1,1,-40.448,35779.4,35794.3,0.00017803,0.032,1436.111,3720.5,2200.3,4900.005,12.03,20,1,0,13,909,25239.1,1
654,3,175,2,1,1,1,1,-27.445,35770.4,35803.3,0.00039103,0.021,1436.103,4685.4,1973.3,10000.004,13.01,1,1,0,13,654,27683.5,1
1372,12,382,14,2,0,1,0,0.001,509.2,513.5,0.00029102,97.541,94.844,,,,,313,12,10,54,1377,39363.2,0
786,3,199,2,1,0,1,0,0.001,612.1,697.3,0.00605002,97.981,97.823,4.1,,,,171,1,5,11,786,40044.4,2
811,20,209,54,3,0,3,3,0.003,853.4,868.3,0.00104001,20.002,102.203,1000.4,,,5.03,39,18,6,16,811,37838.1,0
805,0,206,52,3,0,1,0,0.004,984.2,1014.1,0.00204003,99.202,105.102,47.1,,56.003,43864.03,180,47,3,74,805,27004.2,2
1129,0,120,14,3,0,1,0,0.004,661.2,673.1,0.00085301,98.062,98.081,,,,,104,12,10,41,1134,39210.5,2
1091,3,277,2,2,0,2,3,0.002,1016.3,1203.1,0.01250001,63.404,107.405,5000.5,,,,3,1,1,35,1092,28541.3,0
1118,0,283,2,1,1,1,1,108.024,35783.4,35790.3,8.30E-05,0.031,1436.103,4007.4,,,15.03,2,1,3,36,1123,34941.5,1
667,12,179,2,11,0,1,4,0.001,776.4,779.2,0.00021005,86.405,100.404,689.1,556.4,1400.002,8.04,152,1,10,54,667,25577.5,1
565,20,58,18,3,1,1,1,55.002,35782.3,35796.3,0.00016603,0.093,1436.231,3093.4,1426.3,6250.002,12.04,39,18,0,12,565,37605.3,12
30,5,9,3,3,0,0,0,0.005,643.3,660.1,0.00121002,98.254,97.764,14.5,,,,13,3,6,15,30,40054.2,1
204,0,74,30,8,0,8,4,0.005,669.5,746.1,0.00544005,72.004,98.905,70.4,,46.002,2.02,12,1,4,58,204,29050.5,0
1399,12,350,14,2,0,4,0,0.001,555.3,606.4,0.00367002,97.205,96.301,,,,43895.04,104,12,10,155,1404,28470.5,0
180,3,63,2,3,3,1,6,0.001,9999.3,138825.5,0.79700003,28.505,3808.923,4742.3,,2500.001,5.02,5,1,1,52,180,25867.2,5
965,3,245,2,1,0,1,3,0.001,771.2,774.5,0.00021003,45.003,100.302,45.2,22.5,160.004,5.02,12,1,18,103,965,25119.5,1
850,0,222,2,2,1,1,1,74.801,35576.4,35997.3,0.00499005,4.801,1436.103,6804.5,,,,21,1,1,10,850,40887.4,1
970,0,245,2,1,0,1,3,0.001,614.1,658.5,0.00314002,47.003,97.445,172.3,,400.002,5.03,213,1,1,2,970,41181.5,1
420,3,133,2,1,1,1,1,-91.008,35774.4,35799.2,0.00029705,0.022,1436.102,4100.5,,9500.004,15.01,30,11,0,19,420,31307.5,1
1212,7,40,5,2,0,1,2,0.002,1468.4,1506.2,0.00242001,8.504,115.701,225.5,,,3.04,276,6,7,43,1217,27464.4,1
1259,5,337,3,1,0,1,0,0.003,501.5,505.2,0.00029104,97.504,94.702,120.2,,20.002,1.04,286,3,3,26,1264,38710.5,2
792,0,201,14,1,0,1,0,0.005,779.2,808.2,0.00202002,98.474,100.734,100.4,,,,173,12,11,53,792,40136.3,2
872,3,225,2,5,2,1,3,0.004,20096.3,20268.2,0.00324005,53.001,717.975,2217.1,980.1,1136.005,10.05,3,1,1,47,872,25933.5,6
1263,0,338,74,1,1,1,1,78.503,35843.5,35890.2,0.00055604,0.032,1440.092,3025.3,,,15.03,264,1,1,2,1268,41552.4,1
1387,0,382,14,2,0,6,0,0.005,628.1,629.3,7.14E-05,97.852,97.283,1040.5,,,,315,12,10,85,1392,41038.3,0
1035,20,267,65,3,0,4,0,0.005,817.3,823.3,0.00041703,98.703,101.303,1206.1,,,5.02,39,18,6,136,1035,37387.3,0
213,14,77,15,3,0,6,4,0.002,713.5,724.2,0.00077604,92.004,99.202,720.5,,,3.04,10,7,3,11,213,36508.1,0
