v1,v2,amount
1029,1035,2100
1029,1037,3600
1029,1042,2600
1029,1054,3900
1029,1057,500
1029,1074,1600
1029,1017,3000
1035,1042,100
1035,1054,600
1035,1029,200
1035,1017,100
1037,1042,4400
1037,1049,200
1037,1054,9200
1037,1057,200
1037,1074,6800
1037,1017,7800
1037,1029,8200
1037,1035,700
1042,1054,7300
1042,1057,600
1042,1074,2900
1042,1017,12400
1042,1029,8900
1042,1035,14300
1042,1037,11800
1049,1057,200
1049,1054,9600
1049,1074,3600
1049,1017,4600
1049,1029,2100
1049,1035,8200
1049,1042,9000
1049,1037,5200
1054,1029,100
1057,1054,10800
1057,1029,3100
1057,1017,8800
1057,1035,7000
1057,1074,3200
1057,1037,9900
1057,1042,4700
1074,1054,15100
1074,1035,13400
1074,1017,6700
1074,1029,8500
1074,1037,9200
1074,1042,7500
1074,1057,1500
