log_id,ConfusionMatrix,RunTime (mins)
0,25720 57036    179 57609,0.0025471166666666666
1,78741  4015  10205 47583,0.15617021666666667
2,79896  2860   9817 47971,0.21929610000000002
3,75043  7713    335 57453,0.023170133333333336
4,75011  7745    313 57475,0.7810169666666666
5,75089  7667    422 57366,0.5316896666666666
6,71113 11643    209 57579,0.92413975
7,81279  1477   9636 48152,0.3824867
8,74979  7777    402 57386,10.0786073
9,67303 15453    406 57382,0.004613516666666666
10,78692  4064    515 57273,0.18573951666666666
11,78449  4307    412 57376,0.3832855
12,82670    86     61 57727,0.11102123333333333
13,82713    43     82 57706,1.4602433166666666
14,82708    48    185 57603,1.0991501166666666
15,78734  4022    366 57422,1.7089274
16,82463   293    534 57254,1.0021556666666667
17,82486   270    486 57302,4.509900200000001
18,68551 14205    518 57270,0.013202166666666666
19,80457  2299    966 56822,0.22787735
20,81011  1745    578 57210,0.52956155
21,82673    83     62 57726,0.21532125000000002
22,82708    48     82 57706,1.7516668166666667
23,82738    18    177 57611,1.7233642666666666
24,80605  2151    358 57430,2.071084066666667
25,82512   244    339 57449,1.3952358666666667
26,82729    27    605 57183,3.8487182499999997
27,37086 45670   2621 55167,0.004214933333333334
28,77491  5265   1498 56290,0.16103046666666668
29,77118  5638   1976 55812,0.7395566833333334
30,82639   117    100 57688,0.6384467166666667
31,82685    71    106 57682,5.156125916666666
32,82649   107    346 57442,1.7147273666666665
33,79443  3313    441 57347,5.3186662
34,82462   294    556 57232,1.9557604333333332
35,82565   191    567 57221,3.520040883333333
